location,Total Cases,Total Death,Mortality Rate,Population,Population_Density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,female_smokers,male_smokers,January,February,March,April,May,June,July,August,September,October,November,December
Azerbaijan,187333,2049,0.0109,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,83.241,4.7,73,0.757,0.3,42.5,0,0,295,1506,3690,12030,14354,4557,3794,15040,65907,66160
Bahamas,7713,163,0.0211,393248,39.497,34.3,8.996,5.2,27717.847,235.954,13.17,0,2.9,73.92,0.807,3.1,20.4,0,0,13,67,21,2,470,1643,1906,2591,827,173
Bahrain,89599,348,0.0039,1701583,1935.907,32.4,2.372,1.387,43290.705,151.689,16.52,0,2,77.29,0.846,5.8,37.6,0,40,526,2473,8358,15360,14224,10990,18892,10781,5311,2644
Bangladesh,495838,7155,0.0144,164689383,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,34.808,0.8,72.59,0.608,1,44.7,0,0,48,7616,39486,98330,92178,75335,50483,44205,57248,30909
Barbados,299,6,0.0201,287371,664.463,39.8,14.952,9.473,16978.068,170.05,13.57,88.469,5.8,79.19,0.8,1.9,14.5,0,0,32,47,11,5,13,64,16,47,39,25
Belarus,165896,1290,0.0078,9449321,46.858,40.3,14.799,9.788,17167.967,443.129,5.18,0,11,74.79,0.808,10.5,46.1,0,0,151,13875,28529,19562,5690,4035,6788,19851,38165,29250
Belgium,615057,18275,0.0297,11589616,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,0,5.64,81.63,0.916,25.1,31.4,0,0,12774,35744,9862,3046,7324,16485,33216,310777,148116,37713
Belize,9671,211,0.0218,397621,16.426,25,3.853,2.279,7824.362,176.957,17.11,90.083,1.3,74.62,0.708,0,0,0,0,2,15,0,6,24,959,985,1495,2367,3818
Benin,3151,43,0.0136,12123198,99.11,18.8,3.244,1.942,2064.236,235.848,0.99,11.035,0.5,61.77,0.515,0.6,12.3,0,0,8,55,168,967,606,340,212,286,372,137
Bhutan,439,0,0.0000,771612,21.188,28.6,4.885,2.977,8708.597,217.066,9.75,79.807,1.7,71.78,0.612,0,0,0,0,3,3,36,34,24,124,57,67,61,30
Bolivia,148212,9028,0.0609,11673029,10.202,25.4,6.704,4.393,6885.829,204.299,6.89,25.383,1.1,71.51,0.693,0,0,0,0,105,1060,8815,23237,43570,39809,18713,6446,2951,3506
Bosnia and Herzegovina,103230,3510,0.0340,3280815,68.496,42.5,16.569,10.711,11713.895,329.635,10.08,97.164,3.5,77.4,0.768,30.2,47.7,0,0,418,1337,753,1943,7423,8088,7505,22621,37811,15331
Botswana,12870,37,0.0029,2351625,4.044,25.8,3.941,2.242,15807.374,237.372,4.81,0,1.8,69.59,0.717,5.7,34.4,0,0,1,19,12,192,577,829,1539,3470,4100,2131
Brazil,7040607,183734,0.0261,212559409,25.04,33.5,8.552,5.06,14103.452,177.961,8.11,0,2.2,75.88,0.759,10.1,17.9,0,1,5715,81470,427662,887192,1260444,1245787,902663,724670,800273,704730
Brunei,151,2,0.0132,437483,81.347,32.4,4.591,2.382,71809.251,201.285,12.79,0,2.7,75.86,0.853,2,30.9,0,0,128,9,3,0,0,3,2,2,2,2
Bulgaria,186242,6195,0.0333,6948445,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,0,7.454,75.05,0.813,30.1,44.4,0,0,395,1107,1007,2476,6701,4576,4567,32011,92456,40946
Burkina Faso,4448,72,0.0162,20903278,70.151,17.6,2.409,1.358,1703.102,269.048,2.42,11.877,0.4,61.58,0.423,1.6,23.9,0,0,260,384,202,115,144,262,688,444,386,1563
Burundi,739,0,0.0000,11890781,423.062,17.5,2.562,1.504,702.225,293.068,6.05,6.144,0.8,61.58,0.417,0,0,0,0,0,9,52,107,217,58,63,77,103,53
Cambodia,361,0,0.0000,16718971,90.672,25.6,4.412,2.385,3645.07,270.892,4,66.229,0.8,69.82,0.582,2,33.7,0,0,108,13,3,16,98,35,3,14,35,36
Cameroon,25471,444,0.0174,26545864,50.885,18.8,3.165,1.919,3364.926,244.661,7.2,2.735,1.3,59.29,0.556,0,0,0,0,192,1639,4072,6688,4663,1887,1696,955,2652,1027
Canada,485575,13814,0.0284,37742157,4.037,41.4,16.984,10.797,44017.591,105.599,7.37,0,2.5,82.43,0.926,12,16.6,0,16,8507,45930,38022,13618,12184,12637,30189,76206,144244,104019
Cape Verde,11457,109,0.0095,555988,135.58,25.7,4.46,3.437,6222.554,182.219,2.42,0,2.1,72.98,0.654,2.1,16.5,0,0,5,115,314,792,1224,1433,2140,2769,1968,697
Central African Republic,4935,62,0.0126,4829764,7.479,18.3,3.655,2.251,661.24,435.727,6.1,16.603,1,53.28,0.367,0,0,0,0,2,47,961,2734,863,103,118,37,47,23
Chad,1799,100,0.0556,16425859,11.833,16.7,2.486,1.446,1768.153,280.995,6.1,5.818,0,54.24,0.404,0,0,0,0,6,66,705,88,70,77,187,283,205,112
Chile,576729,15958,0.0277,19116209,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,0,2.11,80.18,0.843,34.2,41.5,0,0,2842,14858,105848,155843,76274,56059,51265,47265,41487,24988
China,94078,4740,0.0504,1439323774,147.674,38.7,10.641,5.929,15308.712,261.899,9.74,0,4.34,76.91,0.752,1.9,48.4,0,69554,2923,1677,190,639,2870,2259,631,821,1536,1724
Colombia,1456598,39558,0.0272,50882884,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,65.386,1.71,77.29,0.747,4.7,13.5,0,0,905,5601,22876,68463,197662,319586,214585,244505,242622,139793
Comoros,632,6,0.0095,869595,437.352,20.4,2.963,1.726,1413.89,261.516,11.88,15.574,2.2,64.32,0.503,4.4,23.6,0,0,0,0,105,197,75,45,56,66,66,22
Congo,6199,98,0.0158,5518092,15.405,19,3.402,2.063,4881.406,344.094,7.2,47.964,0,64.57,0.606,1.7,52.3,0,0,18,201,391,476,2113,779,1110,201,484,426
Costa Rica,155262,1966,0.0127,5094114,96.079,33.6,9.468,5.694,15524.995,137.973,8.78,83.841,1.13,80.28,0.794,6.4,17.4,0,0,346,372,337,2403,14361,23467,34473,34211,29667,15625
Cote d'Ivoire,21740,132,0.0061,26378275,76.399,18.7,2.933,1.582,3601.006,303.74,2.42,19.351,0,57.78,0.492,0,0,0,0,178,1096,1558,6666,6548,2020,1657,992,615,410
Croatia,183044,2869,0.0157,4105268,73.726,44,19.724,13.053,22669.797,253.782,5.59,0,5.54,78.49,0.831,34.3,39.9,0,5,861,1209,170,531,2362,5130,6324,32723,79126,54603
Cuba,9668,136,0.0141,11326616,110.408,43.1,14.738,9.719,0,190.968,8.27,85.198,5.2,78.8,0.777,17.1,53.3,0,0,183,1315,544,296,267,1424,1565,1290,1397,1387
Cyprus,16188,84,0.0052,875899,127.657,37.3,13.416,8.563,32415.132,141.171,9.24,0,3.4,80.98,0.869,19.6,52.7,0,0,260,588,94,54,116,374,267,2611,6199,5625
Czechia,594145,9881,0.0166,10708982,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,0,6.63,79.38,0.888,30.5,38.3,0,0,3305,4374,1586,2686,4620,8044,46145,264339,188196,70850
Democratic Republic of Congo,14929,363,0.0243,89561404,35.879,17,3.02,1.745,808.133,318.949,6.1,4.472,0,60.68,0.457,0,0,0,0,97,474,2498,3969,2031,1027,562,647,1466,2158
Denmark,120329,974,0.0081,5792203,136.52,42.3,19.677,12.325,46682.515,114.767,6.41,0,2.5,80.9,0.929,19.3,18.8,0,2,3036,6317,2513,1099,1060,3382,11069,18384,34139,39328
Djibouti,5758,60,0.0104,988002,41.285,25.4,4.213,2.38,2705.406,258.037,6.05,0,1.4,67.11,0.476,1.7,24.5,0,0,29,1059,2265,1328,402,303,29,145,118,80
Dominica,87,0,0.0000,71991,98.567,0,0,0,9673.367,227.376,11.62,0,3.8,75,0.715,0,0,0,0,11,4,0,2,0,2,10,20,35,3
Dominican Republic,156584,2371,0.0151,10847904,222.873,27.6,6.981,4.419,14600.861,266.653,8.2,55.182,1.6,74.08,0.736,8.5,19.1,0,0,1108,5863,10313,15283,37081,25066,17494,14809,16970,12597
Ecuador,203455,13913,0.0684,17643060,66.939,28.1,7.104,4.458,10581.936,140.448,5.55,80.635,1.5,77.01,0.752,2,12.3,0,0,2234,22694,14164,17334,28923,28412,23280,31145,24493,10776
Egypt,123152,6989,0.0568,102334403,97.999,25.3,5.159,2.891,10550.206,525.432,17.31,89.827,1.6,71.99,0.696,0.2,50.1,0,0,709,4827,19448,43326,25767,4861,4259,4357,8356,7242
El Salvador,42396,1218,0.0287,6486201,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,90.65,1.3,73.32,0.674,2.5,18.8,0,0,31,363,2122,3921,10194,9097,3348,4368,4960,3992
Equatorial Guinea,5194,84,0.0162,1402985,45.194,22.4,2.846,1.752,22604.873,202.812,7.78,24.64,2.1,58.74,0.591,0,0,0,0,11,303,991,695,2820,120,89,58,65,42
